漢字,ふりがな,英語、ポルトガル語
素材,そざい,Taxes
家賃,やちん,Rent
予算,よさん,Budget
目的,もくてき,Purpose
手当て,てあて,Payment
貯金,ちゅきん,Savings
健康保険,けんこうほけん,Health Insurance
改善,かいぜん,Improvement
借金,しゃっきん,Debt
医者,いしゃ,Doctor
祖父,そふ、ジジ,(My) Grandfather
参考,さんこう,Reference
所得税,しょとくぜい,Income tax
港,みなと,Harbour
基本的な,きほんてきな,fundamental; basic
基本,きほん,fundamentals; basics
語彙,ごい,vocabulary
犬,,dog
猫,,cat
魚,,fish
鳥,,bird
牛,,cow
豚,ぶた,pig
,,mouse
,,horse
,,sheep
,,wing
,,animal
,,train
,,plane
,,car
,,truck
,,bicycle
,,bus
,,boat
,,ship
,,tire
,,gasoline
,,engine
,,train ticket
,,transportation
,,city
,,house
